"path";"filename";"offset";"size";"type"
"ASM";"asmsub";"0x2800";"0x800";"asm"
"ASM";"asmbasic";"0x3000";"0x1000";"asm"
"ASM";"asminit2";"0x1800";"0x800";"asm"
"ASM";"asmmain";"0x4800";"0x2800";"asm"
"ASM";"vwf";"0x10000";"0x1000";"asm"
"ASM";"patch_copy";"0x3980";"0x380";"asm"
"Data";"script_bytes";"0x11000";"0xC00";"raw"
"Data";"script_widths";"0x11F20";"0x60";"raw"
"Data";"ui_bytes";"0x12000";"0xC00";"raw"
"Data";"ui_widths";"0x12F20";"0x60";"raw"
"Data";"menu_bytes";"0x13000";"0xC00";"raw"
"Data";"menu_widths";"0x13F20";"0x60";"raw"
"Data";"snddat";"0xF000";"0x400";"raw"
